ApprovalFY,BorrState,loan_count,total_approval,average_loan_amount,total_sba_guaranteed,average_jobs_supported,charge_off_count,paid_in_full_count,guarantee_pct,charge_off_rate_pct,paid_in_full_rate_pct
2021,ID,435,278369200.0,639929.1954022988,233760701.44,11.275862068965518,4,191,0.8397505953963298,0.9195402298850575,43.9080459770115
2021,IL,1723,1120986500.0,650601.5670342426,934178970.57,14.38827626233314,38,670,0.8333543450969303,2.20545560069646,38.88566453859547
2021,IN,1166,637242500.0,546520.154373928,531089791.2,11.301029159519725,11,451,0.8334186611847139,0.9433962264150944,38.679245283018865
2021,KS,465,268740900.0,577937.4193548387,225456455.3,12.324731182795698,6,189,0.8389361474193173,1.2903225806451613,40.645161290322584
2021,KY,459,257978700.0,562045.0980392157,212059651.0,12.77995642701525,8,204,0.8220044949447377,1.7429193899782136,44.44444444444444
2021,LA,352,281233800.0,798959.6590909091,239469360.4,13.130681818181818,14,116,0.8514956609056238,3.977272727272727,32.95454545454545
2021,MA,1093,472556200.0,432347.84995425434,375010481.0,11.462946020128088,21,427,0.7935785859967556,1.9213174748398902,39.066788655077765
2021,MD,698,388192400.0,556149.5702005731,322394550.0,12.435530085959885,44,250,0.8305019624289399,6.303724928366762,35.816618911174785
2021,ME,267,105130700.0,393747.9400749064,85312445.0,11.352059925093632,2,117,0.8114893651426273,0.7490636704119851,43.82022471910113
2021,MI,2131,1007150500.0,472618.7236039418,844280747.615,10.465978413890193,35,832,0.8382865794287944,1.6424213984045049,39.04270295635852
2021,MN,1951,968768600.0,496549.76934905176,799742356.8,12.661199384930805,33,868,0.8255246472687079,1.691440287032291,44.49000512557663
2021,MO,1063,626235900.0,589121.260583255,526644756.94,12.408278457196614,21,427,0.8409686460645261,1.975540921919097,40.169332079021636
2021,MS,367,211357900.0,575907.0844686648,181001409.51,11.346049046321525,12,148,0.8563739964770656,3.2697547683923704,40.32697547683924
2021,MT,276,158572700.0,574538.768115942,133257816.0,9.307971014492754,3,118,0.840357867400883,1.0869565217391304,42.7536231884058
2021,NC,1089,1035001000.0,950414.1414141414,881157457.99,13.912764003673095,13,437,0.8513590402231496,1.1937557392102847,40.12855831037649
2021,ND,176,85377400.0,485098.86363636365,65813075.0,10.340909090909092,2,99,0.7708489014657275,1.1363636363636365,56.25
2021,NE,344,193115300.0,561381.6860465116,155184694.3,15.284883720930232,4,132,0.8035857039809896,1.1627906976744187,38.372093023255815
2021,NH,411,150054900.0,365097.0802919708,118962410.0,11.588807785888077,4,197,0.792792571252255,0.9732360097323601,47.93187347931873
